t,original_y,smoothed_y
0,0.197023,0.197023
0.001,0.179715,0.180584
0.002,0.273317,0.225802
0.003,-0.159623,0.0991377
0.004,-0.147572,0.0378507
0.005,-0.16168,-0.00209478
0.006,-0.254706,-0.0445623
0.007,0.218409,-0.00635193
0.008,-0.208014,-0.0322265
0.009,0.29482,0.00544874
0.01,0.0442213,0.00951273
0.011,-0.277181,-0.0181297
0.012,0.216952,0.00291216
0.013,0.275313,0.0257244
0.014,0.159634,0.0362873
0.015,0.200717,0.0485758
0.016,0.0464594,0.0484252
0.017,0.159742,0.0560045
0.018,-0.526941,0.0178793
0.019,-0.0598972,0.0129756
0.02,0.0796748,0.0170429
0.021,-0.0132245,0.0152525
0.022,-0.0363241,0.0122853
0.023,-0.273982,-0.00377055
0.024,-0.119627,-0.0101195
0.025,0.303095,0.00668421
0.026,-0.134226,-0.000730091
0.027,0.0210241,0.000394384
0.028,0.138582,0.007422
0.029,-0.00923407,0.00658748
0.03,-0.249842,-0.00608623
0.031,-0.216861,-0.0163741
0.032,0.17672,-0.00705662
0.033,0.248295,0.00513628
0.034,0.066586,0.00804237
0.035,0.188675,0.0165099
0.036,-0.0443034,0.0136821
0.037,0.175835,0.0211665
0.038,-0.00555488,0.0199415
0.039,0.242598,0.0300857
0.04,-0.166759,0.0211685
0.041,0.244903,0.031251
0.042,0.193529,0.0385289
0.043,0.0863002,0.040662
0.044,-0.132835,0.0329461
0.045,-0.12741,0.0258409
0.046,0.344865,0.0399287
0.047,-0.0238777,0.0371198
0.048,-0.130822,0.0297477
0.049,0.339305,0.0433009
0.05,0.249817,0.0523212
0.051,0.0228021,0.0510347
0.052,0.131561,0.0545372
0.053,-0.107677,0.0474947
0.054,0.23301,0.0555352
0.055,0.17884,0.0608712
0.056,0.0602496,0.0608443
0.057,-0.214037,0.0489812
0.058,-0.16452,0.0397781
0.059,-0.151513,0.0315414
0.06,0.267409,0.0416874
0.061,0.243313,0.0503524
0.062,0.202812,0.056899
0.063,0.0382911,0.0561006
0.064,-0.0225076,0.0527302
0.065,-0.178648,0.0428159
0.066,-0.106567,0.0364189
0.067,0.153656,0.0414366
0.068,0.101401,0.0440018
0.069,0.171307,0.0494451
0.07,0.0965704,0.0514593
0.071,0.0332948,0.0506832
0.072,-0.175485,0.0410238
0.073,0.136998,0.0451215
0.074,0.163701,0.0501827
0.075,-0.4716,0.0279178
0.076,-0.184802,0.0188431
0.077,0.237994,0.02819
0.078,0.536186,0.0498517
0.079,0.086104,0.0513973
0.08,-0.0535075,0.0469256
0.081,0.54113,0.0679882
0.082,0.266217,0.0764353
0.083,0.252904,0.0839541
0.084,0.532119,0.103047
0.085,0.213085,0.107734
0.086,0.184051,0.110984
0.087,0.30189,0.119115
0.088,-0.0326619,0.112651
0.089,-0.13795,0.101981
0.09,0.333783,0.11185
0.091,0.0406886,0.108821
0.092,-0.0973344,0.100044
0.093,0.244522,0.106194
0.094,0.0113595,0.102157
0.095,0.313741,0.111164
0.096,-0.0024123,0.106329
0.097,0.101958,0.106143
0.098,0.236137,0.111676
0.099,0.161947,0.113816
0.1,-0.0547688,0.106641
0.101,0.332551,0.116255
0.102,0.407601,0.128653
0.103,0.2093,0.132085
0.104,0.160146,0.133279
0.105,0.0799049,0.131008
0.106,0.181196,0.133144
0.107,0.374079,0.143396
0.108,-0.165813,0.130239
0.109,-0.0372893,0.12311
0.11,0.524354,0.140183
0.111,-0.100481,0.129943
0.112,-0.0657287,0.121618
0.113,0.503327,0.137859
0.114,0.353659,0.14704
0.115,0.374008,0.156697
0.116,0.155495,0.156646
0.117,-0.088006,0.146237
0.118,0.149313,0.146368
0.119,0.497445,0.161305
0.12,0.11103,0.159166
0.121,0.26692,0.16375
0.122,-0.155853,0.150153
0.123,0.23626,0.153816
0.124,0.416791,0.165004
0.125,0.182616,0.165754
0.126,0.34886,0.173544
0.127,0.289723,0.178487
0.128,0.799507,0.204908
0.129,0.445822,0.215157
0.13,0.469846,0.225993
0.131,0.342253,0.230939
0.132,-0.112291,0.216337
0.133,0.714555,0.237533
0.134,0.454955,0.246783
0.135,0.553475,0.259831
0.136,0.0665346,0.251607
0.137,0.339835,0.255361
0.138,0.0724089,0.247577
0.139,0.0641691,0.239774
0.14,0.0720256,0.232638
0.141,0.214013,0.231845
0.142,-0.124154,0.2167
0.143,0.178611,0.215079
0.144,0.263775,0.217151
0.145,-0.0391687,0.206246
0.146,0.25019,0.208116
0.147,0.313284,0.21259
0.148,0.319443,0.217136
0.149,0.423567,0.225918
0.15,0.237383,0.226406
0.151,0.354045,0.231836
0.152,-0.256597,0.211057
0.153,0.101138,0.20638
0.154,0.129637,0.203115
0.155,0.360466,0.20981
0.156,0.0461354,0.202846
0.157,0.231942,0.204084
0.158,0.820734,0.230319
0.159,0.665817,0.248846
0.16,0.030523,0.239558
0.161,0.430588,0.247685
0.162,0.182427,0.244909
0.163,0.155693,0.241113
0.164,0.0923,0.234782
0.165,0.541397,0.247827
0.166,0.361838,0.252677
0.167,0.254672,0.252762
0.168,-0.133186,0.236342
0.169,0.209182,0.235187
0.17,0.691646,0.254606
0.171,-0.0351119,0.242281
0.172,0.478267,0.25232
0.173,0.125444,0.246922
0.174,0.324627,0.250228
0.175,0.00312965,0.239716
0.176,0.0452249,0.231442
0.177,0.404725,0.238814
0.178,0.349344,0.243516
0.179,0.292629,0.245605
0.18,0.382354,0.251423
0.181,0.358744,0.255989
0.182,0.810803,0.279593
0.183,0.17668,0.275214
0.184,0.312229,0.276789
0.185,0.526478,0.287412
0.186,0.72476,0.306018
0.187,-0.0601775,0.290439
0.188,0.11388,0.282927
0.189,-0.131724,0.265287
0.19,0.754396,0.286095
0.191,0.509837,0.295614
0.192,0.371199,0.298829
0.193,-0.0866656,0.282429
0.194,0.373382,0.286299
0.195,0.112415,0.278901
0.196,0.312,0.280309
0.197,0.641233,0.295664
0.198,0.174383,0.290504
0.199,0.0990274,0.282358
0.2,0.758869,0.302631
0.201,0.465862,0.309575
0.202,0.290967,0.308783
0.203,0.695639,0.325242
0.204,0.139858,0.317355
0.205,0.367893,0.319505
0.206,0.641175,0.33319
0.207,0.560418,0.342857
0.208,0.0774575,0.331566
0.209,0.379983,0.333626
0.21,0.474689,0.339627
0.211,0.346891,0.339936
0.212,0.191053,0.333602
0.213,0.0860757,0.323071
0.214,0.230733,0.319143
0.215,0.366675,0.321165
0.216,0.014402,0.308114
0.217,0.478137,0.315348
0.218,0.118165,0.306959
0.219,0.0927776,0.297847
0.22,0.303755,0.298098
0.221,0.398607,0.302374
0.222,0.0720858,0.292577
0.223,-0.0524688,0.277898
0.224,0.595524,0.291411
0.225,0.0445007,0.280906
0.226,0.32352,0.282719
0.227,0.280626,0.28263
0.228,0.321958,0.284303
0.229,0.243539,0.282569
0.23,0.744513,0.302222
0.231,0.395876,0.306206
0.232,0.396043,0.310028
0.233,0.433488,0.31528
0.234,0.392978,0.318586
0.235,0.180564,0.312714
0.236,0.117083,0.304391
0.237,0.612486,0.317499
0.238,0.101445,0.308307
0.239,0.411238,0.312686
0.24,0.194368,0.307652
0.241,0.0430655,0.296396
0.242,-0.111029,0.279063
0.243,0.217422,0.27644
0.244,0.334299,0.278902
