t,original_y,smoothed_y
0,2.59583,2.59583
0.001,2.79519,2.78517
0.002,3.06006,2.91921
0.003,3.34078,3.05776
0.004,3.21701,3.09732
0.005,3.30723,3.13934
0.006,2.80126,3.0825
0.007,2.60648,3.01334
0.008,2.69263,2.97219
0.009,3.21869,3.00059
0.01,2.94583,2.99485
0.011,2.75772,2.97198
0.012,3.21512,2.99375
0.013,3.06012,2.9993
0.014,2.83498,2.98634
0.015,2.90383,2.98018
0.016,2.85869,2.97153
0.017,2.68234,2.95184
0.018,2.76396,2.93955
0.019,2.68458,2.92348
0.02,3.06379,2.93203
0.021,2.86125,2.92785
0.022,2.90494,2.92653
0.023,2.95575,2.92817
0.024,2.70305,2.91583
0.025,2.35448,2.88571
0.026,3.10035,2.89701
0.027,2.99798,2.90223
0.028,3.04432,2.90945
0.029,3.41964,2.93502
0.03,2.86053,2.93133
0.031,2.4758,2.9091
0.032,2.78225,2.90298
0.033,2.94535,2.905
0.034,2.77851,2.89902
0.035,2.75117,2.89209
0.036,3.0804,2.90085
0.037,2.48985,2.88188
0.038,2.4624,2.86265
0.039,2.46993,2.84475
0.04,3.15848,2.85896
0.041,2.80511,2.85654
0.042,2.84204,2.85589
0.043,2.73813,2.85063
0.044,2.61418,2.84011
0.045,2.94375,2.84471
0.046,2.57766,2.83291
0.047,2.72131,2.828
0.048,2.81589,2.82747
0.049,2.63053,2.81885
0.05,2.82108,2.81894
0.051,3.17131,2.8343
0.052,2.58417,2.82342
0.053,3.18491,2.83912
0.054,3.03888,2.84777
0.055,2.52758,2.83392
0.056,2.40232,2.81527
0.057,2.40023,2.79735
0.058,2.65906,2.79139
0.059,2.7763,2.79074
0.06,2.42911,2.77519
0.061,2.82483,2.77732
0.062,2.79854,2.77823
0.063,2.32748,2.75889
0.064,2.64275,2.75391
0.065,3.64458,2.79208
0.066,2.37916,2.77439
0.067,2.4983,2.76258
0.068,3.10907,2.7774
0.069,3.00493,2.78713
0.07,2.64062,2.78087
0.071,2.32318,2.76131
0.072,2.8444,2.76486
0.073,2.72599,2.7632
0.074,2.52208,2.75291
0.075,2.63686,2.74796
0.076,2.56259,2.74005
0.077,2.70202,2.73843
0.078,2.45174,2.7262
0.079,2.84306,2.73118
0.08,2.36686,2.71566
0.081,2.55633,2.70886
0.082,2.40384,2.69587
0.083,2.68261,2.6953
0.084,2.75167,2.6977
0.085,2.91047,2.70677
0.086,2.71217,2.707
0.087,2.54737,2.7002
0.088,2.45799,2.68988
0.089,2.93995,2.70053
0.09,2.8999,2.70902
0.091,2.72127,2.70954
0.092,2.52816,2.70182
0.093,2.2612,2.68306
0.094,2.61468,2.68015
0.095,2.64189,2.67852
0.096,2.40208,2.66676
0.097,2.94482,2.67859
0.098,2.77646,2.68276
0.099,2.75056,2.68564
0.1,2.72155,2.68717
0.101,2.53361,2.68064
0.102,2.0379,2.65328
0.103,2.65591,2.6534
0.104,2.35249,2.64059
0.105,2.13759,2.61919
0.106,2.33839,2.60724
0.107,2.77115,2.61421
0.108,2.93263,2.62776
0.109,2.86774,2.63797
0.11,2.53522,2.6336
0.111,2.87066,2.64369
0.112,2.38827,2.63282
0.113,2.48381,2.62648
0.114,2.28639,2.61201
0.115,2.49954,2.60723
0.116,2.37035,2.59715
0.117,2.76569,2.60432
0.118,2.70895,2.60877
0.119,2.74492,2.61456
0.12,2.29255,2.60086
0.121,2.45827,2.5948
0.122,2.74708,2.60127
0.123,2.13637,2.5815
0.124,2.52651,2.57916
0.125,3.03319,2.59847
0.126,2.25076,2.58368
0.127,2.52379,2.58113
0.128,2.68084,2.58537
0.129,2.38671,2.57692
0.13,2.49384,2.57339
0.131,2.1521,2.55546
0.132,2.52818,2.5543
0.133,2.32054,2.54436
0.134,2.73677,2.55254
0.135,2.3343,2.54326
0.136,2.30883,2.53329
0.137,2.61047,2.53657
0.138,2.1372,2.51958
0.139,2.41514,2.51513
0.14,2.52026,2.51535
0.141,2.81769,2.52822
0.142,2.1327,2.51139
0.143,2.42981,2.50792
0.144,2.64329,2.51368
0.145,1.86422,2.48605
0.146,2.79136,2.49904
0.147,2.04902,2.47989
0.148,2.49089,2.48036
0.149,2.51134,2.48168
0.15,2.37507,2.47714
0.151,2.04486,2.45875
0.152,2.22672,2.44888
0.153,2.23765,2.43989
0.154,2.29241,2.43362
0.155,2.44022,2.4339
0.156,2.31725,2.42894
0.157,2.35823,2.42593
0.158,2.41023,2.42526
0.159,2.44738,2.4262
0.16,2.72208,2.43879
0.161,2.2686,2.43155
0.162,2.09413,2.41719
0.163,2.38938,2.41601
0.164,2.35069,2.41323
0.165,2.4585,2.41516
0.166,2.53205,2.42013
0.167,1.99148,2.40189
0.168,2.31814,2.39833
0.169,2.67258,2.41
0.17,2.04694,2.39455
0.171,2.55878,2.40154
0.172,2.31319,2.39778
0.173,1.95181,2.37881
0.174,2.27315,2.37431
0.175,2.37273,2.37425
0.176,2.20078,2.36687
0.177,1.98176,2.35048
0.178,2.40049,2.35261
0.179,2.28993,2.34994
0.18,2.45949,2.3546
0.181,2.09412,2.34352
0.182,2.22535,2.33849
0.183,1.9791,2.3232
0.184,2.21332,2.31853
0.185,2.50044,2.32627
0.186,2.41402,2.33
0.187,2.11386,2.32081
0.188,2.6408,2.33442
0.189,2.35425,2.33526
0.19,2.41614,2.3387
0.191,2.16647,2.33138
0.192,2.47655,2.33755
0.193,2.10296,2.32757
0.194,2.2793,2.32552
0.195,2.0916,2.31557
0.196,2.48485,2.32277
0.197,1.76981,2.29924
0.198,2.95534,2.32716
0.199,2.45235,2.33248
0.2,2.19861,2.32679
0.201,2.49443,2.33392
0.202,2.09455,2.32374
0.203,2.33885,2.32438
0.204,2.12248,2.31579
0.205,2.63482,2.32936
0.206,1.99303,2.31505
0.207,2.0301,2.30293
0.208,1.88282,2.28506
0.209,2.02287,2.2739
0.21,2.44106,2.28101
0.211,2.22265,2.27853
0.212,1.92977,2.26369
0.213,2.07432,2.25564
0.214,2.05741,2.2472
0.215,2.14198,2.24273
0.216,2.0034,2.23255
0.217,2.25206,2.23338
0.218,2.32242,2.23716
0.219,1.69422,2.21407
0.22,2.36366,2.22043
0.221,1.86256,2.2052
0.222,2.67947,2.22538
0.223,2.12145,2.22096
0.224,1.88165,2.20652
0.225,1.74649,2.18695
0.226,1.80118,2.17054
0.227,1.74192,2.15231
0.228,2.6481,2.1734
0.229,1.88911,2.1613
0.23,2.25707,2.16538
0.231,1.93759,2.15569
0.232,2.26219,2.16022
