t,original_y,smoothed_y
0,8.56338,8.56338
1,4.24572,4.46263
2,6.63482,5.52182
3,8.18614,6.39741
4,8.39742,6.89425
5,11.1679,7.74981
6,3.10756,6.96939
7,5.90229,6.81433
8,16.7974,8.09522
9,20.0756,9.47534
10,13.1494,9.86045
11,18.6463,10.7076
12,20.3763,11.573
13,22.2115,12.4639
14,30.7388,13.9054
15,26.1004,14.8168
16,28.9844,15.8252
17,24.8983,16.4429
18,30.9171,17.3895
19,23.3106,17.7629
20,30.3907,18.5329
21,26.0864,18.9797
22,30.9396,19.6677
23,36.3369,20.6027
24,36.7976,21.4901
25,28.057,21.8425
26,41.8899,22.8973
27,43.6118,23.968
28,34.6573,24.5116
29,35.4039,25.0574
30,45.3068,26.0582
31,41.76,26.8246
32,47.4311,27.8189
33,38.231,28.3161
34,44.0774,29.0615
35,53.6174,30.2126
36,46.5915,30.9742
37,45.2077,31.6312
38,46.745,32.324
39,60.3446,33.6007
40,59.831,34.7889
41,56.1267,35.7505
42,68.9429,37.2391
43,59.6184,38.2384
44,66.2014,39.482
45,72.4224,40.9416
46,67.3145,42.1062
47,68.0491,43.2482
48,63.2794,44.1275
49,63.6528,44.9824
50,67.8894,45.9829
51,77.7717,47.3684
52,73.3504,48.4985
53,79.7349,49.8546
54,76.7695,51.0211
55,79.5108,52.254
56,90.1693,53.8925
57,84.1541,55.1985
58,88.2946,56.6251
59,91.6031,58.1312
60,90.5379,59.5252
61,96.3738,61.1088
62,92.3526,62.4504
63,92.3712,63.7342
64,110.042,65.7197
65,91.9411,66.8432
66,90.9455,67.8754
67,103.679,69.4078
68,94.7135,70.4903
69,100.312,71.7654
70,99.7645,72.9621
71,114.662,74.7437
72,98.9783,75.7787
73,102.375,76.9143
74,112.89,78.4498
75,112.999,79.9241
76,102.606,80.8917
77,121.513,82.6242
78,116.483,84.0679
79,123.439,85.7465
80,108.414,86.7127
81,114.457,87.8951
82,115.251,89.0608
83,122.671,90.4929
84,118.935,91.7046
85,120.331,92.924
86,122.175,94.1698
87,130.427,95.7139
88,131.084,97.2201
89,129.983,98.6152
90,139.425,100.353
91,139.381,102.014
92,130.516,103.228
93,131.994,104.452
94,131.524,105.605
95,135.34,106.87
96,134.052,108.027
97,145.257,109.612
98,139.891,110.901
99,136.522,111.991
100,148.443,113.542
101,146.899,114.962
102,150.365,116.469
103,154.691,118.095
104,155.346,119.68
105,154.572,121.165
106,154.212,122.571
107,158.503,124.1
108,159.862,125.622
109,159.327,127.056
110,155.399,128.262
111,164.587,129.808
112,155.089,130.883
113,163.396,132.267
114,160.853,133.483
115,169.173,135.001
116,173.227,136.628
117,175.494,138.281
118,179.771,140.047
119,168.013,141.236
120,170.483,142.481
121,177.489,143.97
122,173.699,145.235
123,181.041,146.758
124,181.805,148.25
125,181.656,149.671
126,187.655,151.287
127,192.884,153.057
128,184.598,154.398
129,179.145,155.451
130,196.277,157.188
131,195.496,158.818
132,197.584,160.467
133,195.657,161.964
134,191.974,163.241
135,192.815,164.499
136,210.691,166.464
137,198.274,167.818
138,201.135,169.235
139,196.42,170.392
140,206.662,171.935
141,206.338,173.398
142,206.985,174.827
143,210.274,176.335
144,205.45,177.574
145,219.392,179.353
146,217.632,180.982
147,211.462,182.278
148,208.733,183.404
149,205.474,184.343
150,223.632,186.014
151,220.666,187.488
152,226.019,189.128
153,225.943,190.694
154,222.606,192.052
155,229.072,193.627
156,227.958,195.087
157,224.531,196.34
158,225.817,197.594
159,220.137,198.553
160,233.285,200.03
161,237.894,201.641
162,237.248,203.156
163,232.603,204.409
164,230.236,205.508
165,241.336,207.032
166,246.43,208.708
167,241.09,210.086
168,248.212,211.708
169,242.104,213.001
170,250.57,214.599
171,256.882,216.398
172,262.417,218.356
173,258.993,220.085
174,258.433,221.716
175,256.789,223.208
176,251.183,224.398
177,242.761,225.18
178,261.21,226.713
179,265.017,228.342
180,259.49,229.667
181,260.666,230.986
182,266.143,232.482
183,265.133,233.871
184,276.124,235.668
185,278.927,237.509
186,266.457,238.74
187,274.708,240.271
188,272.987,241.662
189,266.724,242.729
190,275.463,244.121
191,274.449,245.411
192,283.117,247.016
193,281.639,248.489
194,278.106,249.749
195,278.886,250.988
196,291.331,252.705
197,286.458,254.141
198,288.63,255.608
199,285.67,256.887
200,286.466,258.145
201,281.914,259.156
202,295.028,260.682
203,292.561,262.039
204,296.685,263.513
205,292.637,264.752
206,297.286,266.136
207,311.353,268.06
208,302.72,269.534
209,299.261,270.799
210,308.036,272.383
211,304.492,273.749
212,314.72,275.492
213,305.623,276.774
214,307.983,278.102
215,312.053,279.546
216,304.107,280.591
217,309.684,281.829
218,316.89,283.32
219,320.843,284.917
220,315.415,286.214
221,320.338,287.666
222,326.907,289.335
223,316.588,290.495
224,324.243,291.931
225,334.068,293.723
226,327.008,295.139
227,321.978,296.281
228,328.647,297.658
229,338.691,299.404
230,335.129,300.924
231,339.184,302.551
232,330.482,303.74
233,339.207,305.248
234,335.46,306.534
235,336.915,307.826
236,343.516,309.345
237,341.369,310.707
238,343.397,312.098
